"","Dates","Eventwindow","CAREnergy","CARFinancials","CARFoodDistributors","CARFoodRetail","CARHealthcare","CARInfoTechnology","CARPharmaceuticals","CARRealEstate","CARTelecomServ","CARHotelsRestAndLeisureIn","CARTransportation"
"1",2020-01-16,-10,-0.634853990574902,-0.0212710726433742,-0.394026998238736,-1.43519105352216,-0.209124039498828,0.311455868785385,-0.233825319674844,0.522262117866884,0.390235028628065,0.496280334497759,0.286047556322663
"2",2020-01-17,-9,-1.30650415372338,0.0471033050846554,-0.54567354230034,-1.10076457044799,-0.439741712768402,0.490547402253517,-0.555904892729847,0.319110498203658,1.01508180639316,1.16896609489945,0.243420354866312
"3",2020-01-21,-8,-2.20436661942323,-0.237801677817367,-0.0907982835332335,0.357623954050999,-0.350764004553673,0.535953565511565,-0.57949970250359,1.12857785566361,1.61735533468903,-0.641708034453876,-0.820975672000048
"4",2020-01-22,-7,-3.07107407476776,-0.130653433757725,-0.362575506101935,0.207671214181662,-0.330949934785363,0.740185503252693,-0.987685081393364,0.230145404995281,2.32142748056276,-0.807444808177789,-1.52440591148599
"5",2020-01-23,-6,-3.30880479905132,-0.403198832950446,0.0515771205892428,0.416975659232053,-0.958161246276594,1.0598154304849,-1.2646083946024,1.08478309140568,1.69191624904727,-0.205099120939619,0.395475627546731
"6",2020-01-24,-5,-3.12910767782483,-0.667540356939758,-0.788260110391635,0.268811368828293,-2.00892784182004,1.68904156330827,-2.58292114022084,0.98665579827505,1.73675835634943,-1.38527400287152,1.13269717718306
"7",2020-01-27,-4,-3.92302183091358,-0.257381017936611,-0.379035277919742,1.54302129860757,-1.71214309668643,1.28955701894317,-1.6053450899868,1.09248861931711,2.00788907098126,-2.87140079001558,0.420020324434634
"8",2020-01-28,-3,-4.0704552163318,-0.0100971391866381,-0.595636959424314,1.14299544549547,-2.16000925885041,1.67989273568091,-2.6559407230904,0.783764336306994,2.55080422320641,-2.73914094462069,0.290485702513039
"9",2020-01-29,-2,-4.08929269649369,0.434937077087784,-1.64731852984261,-1.51332422073365,-2.64910212853677,1.68235437181499,-2.82869538195966,-0.261632395580052,-0.215163284747544,-2.29172556536278,1.74428333347469
"10",2020-01-30,-1,-3.97178615718898,0.780772066055597,-0.839113257598684,-1.38670432446442,-3.55513856529135,2.18247068327292,-3.26942780749561,-0.0498494728871976,-0.35808992627579,-2.5936176209603,0.351291450709378
"11",2020-01-31,0,-4.9849758575139,0.715761547069429,-0.993159606854994,-2.73645419588239,-4.34143249132695,1.53010392448449,-3.41821862468221,-0.994884568317169,0.672007941583191,-2.71357480259427,0.0896233978341883
"12",2020-02-03,1,-6.55680040204453,0.910011738625255,-8.0282814199469,-2.78377581437469,-4.26228853842267,1.66382487753057,-2.89539368884801,-1.31778249535359,-1.40600620782925,-2.73005882601245,-0.419202779967561
"13",2020-02-04,2,-7.25209718449874,0.64374385708636,-11.0270417528308,-1.88558282560973,-3.97564090711056,2.00266768642702,-2.93202095459298,-1.03538732336005,-0.848520318693184,-2.56661789879083,0.0767514402536693
"14",2020-02-05,3,-5.64029136164064,0.774115810724888,-10.6059279001546,-0.618914096041643,-2.41244178603106,1.81846235681682,-2.26827960633204,-0.844478248061786,-0.816079495291572,-2.96636645601837,-0.502182443602697
"15",2020-02-06,4,-6.10431175337998,0.697194625685519,-9.71813417560622,-0.44858743529243,-2.76068043193169,2.0123558175499,-2.4896848294711,-1.00212858427133,0.248461407971794,-4.10489453539157,-0.183897910374992
"16",2020-02-07,5,-6.10947512354848,0.77359639231134,-8.71251221780206,-0.221456139862323,-3.20177524551293,1.57913164962607,-2.93364423906483,-0.967484073674018,0.856930967276428,-5.10037638489914,-0.121545673488612
"17",2020-02-10,6,-6.80562153110632,0.697110218122374,-9.6974071674018,0.304867002993025,-3.50903300003623,1.71203474551238,-3.36055850172811,-0.387039595851712,0.736265799247743,-4.99177650112831,-0.204819352236927
"18",2020-02-11,7,-6.85402285193599,0.189607848747397,-10.7539043665202,0.743232072324231,-2.87953696700392,1.30456877691773,-3.11363304125865,1.12977236382403,-0.528503539035538,-3.83415208851495,-0.781489094026559
"19",2020-02-12,8,-5.78352884503116,-0.226533166602634,-9.57447596942522,1.28315764165748,-3.37037847579159,1.42301773453723,-4.39875337818917,1.42656434958156,-1.20744653853991,-2.85353431272283,-0.389644532522728
"20",2020-02-13,9,-6.08001392791702,-0.156734252991167,-8.94186038281272,0.978389639162267,-3.87867670315875,1.2664736733325,-5.46269591279209,2.00006391765578,-0.781739829903678,-3.2097984100905,-0.241442051332448
"21",2020-02-14,10,-6.34395246110381,0.0531467636519099,-8.84406853602538,-0.165278520779016,-4.06983117713762,1.28853668199834,-5.8780599827845,2.67532080190622,-0.908327475432513,-4.01426321692884,-0.505840020334067
