Event ID;Firm;Reference Market;Event Date;Analysis Report;Estimation Window Length;End of Estimation Window;First Date Estimation Window;Last Date Estimation Window;Actual Stock Return;Actual Market Return;Alpha;Beta;Residual Standard Deviation;Expected Stock Return;First-order Autocorellation
;Overarching comments;;;Analysis performed successfully;;;;;;;;;;;
1;S&P500 ES ENERGY;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;-0.0188;-2.1429;-0.0004;-0.0001;0.0139;-0.0002;0.0146
2;S&P500 ES HEALTH CARE;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;0.0004;-2.1429;0.0002;-0.0002;0.0101;0.0005;0.0491
3;S&P500 ES REAL ESTATE;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;0.0107;-2.1429;0.0007;-0.0001;0.0091;0.0009;-0.0331
4;S&P500 ES INFO TECHNOLOGY;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;-0.0008;-2.1429;0.0009;-0.0001;0.014;0.0012;-0.0697
5;S&P500 ES FINANCIALS;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;-0.0086;-2.1429;0.0004;-0.0001;0.0113;0.0006;-0.0259
6;S&P500 TRANSPORTATION;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;-0.0186;-2.1429;0.0004;-0.0001;0.0135;0.0007;-0.0215
7;S&P500 PHARMACEUTICALS;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;0.0004;-2.1429;-0.0001;-0.0002;0.01;0.0003;-0.0049
8;S&P500 TELECOM SERV;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;0.0043;-2.1429;0.0005;-0.0001;0.0104;0.0007;-0.0154
9;S&P500 HOTELS REST & LEISURE IN;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;-0.0182;-2.1429;0.0006;-0.0002;0.0092;0.0009;-0.0641
10;S&P500 FOOD RETAIL;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;0.0092;-2.1429;-0.0002;-0.0002;0.0186;0.0002;0.0421
11;S&P500 FOOD DISTRIBUTORS;S&P 500 COMPOSITE;21.01.2020;Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s);250;-51;06.11.2018;05.11.2019;0.005;-2.1429;0.0009;0;0.0108;0.001;-0.0038
